C,Gamma,CV Accuracy
0.1,0.01,0.9473063188945815
0.1,0.1,0.9349945660611706
0.1,1.0,0.6274181027790716
1.0,0.01,0.9666356155876418
1.0,0.1,0.9595870206489675
1.0,1.0,0.6309268747088961
10.0,0.01,0.9789318428815401
10.0,0.1,0.947259742276044
10.0,1.0,0.6361900326036329
